composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Bernstein,2.90967,2.81656,38.4615,2/4,1944,0.309543
Bernstein,2.56584,2.36772,90.1108,2/4,1944,2.16457
Bernstein,2.06925,2.3219,29.6296,3/4 3/8 4/4 3/4 3/8 3/4,1944,0.881291
Bernstein,2.89741,2.49302,62.8283,4/4,1944,1.22439
Bernstein,2.63411,2.33626,63.0386,4/4,1944,2.39954
Bernstein,2.38105,1.81537,44.4444,6/8,1944,0.899744
Bernstein,2.7275,2.53661,41.6667,5/4 4/4 5/4,1943,0.413817
Bernstein,2.41309,2.41309,56.4626,5/4 6/4,1943,1.81128
Bernstein,3.16307,2.93869,78.6905,4/4,1943,1.73995
Bernstein,3.07908,2.7405,5.55556,6/8 8/8 6/8,1943,0.286397
Bernstein,2.70356,2.70356,42.1769,4/4 3/8 4/4 3/8 4/4,1943,2.02749
Bernstein,2.46951,2.3523,37.8285,3/4 2/4 3/4,1943,2.14061
Bernstein,2.63853,2.2147,80.401,4/4 3/4,1943,1.88417
Bernstein,2.85367,2.78059,57.5537,3/4,1943,1.66795
Bizet,2.96855,2.89389,56.4295,4/4,1872,1.70337
Bizet,2.7187,3.14586,38.9945,4/4,1872,1.61357
Bach,2.49047,2.52821,8.33333,9/8,1723,0.322757
Bizet,2.12005,2.68294,12.8205,3/4,1872,0.825627
Bizet,2.42877,2.37931,69.0476,3/4,1872,1.28669
Bizet,2.28874,2.83724,2.66667,3/4,1872,0.235193
Bizet,2.54759,2.42278,44.0009,3/4,1872,2.20108
Bizet,2.38359,2.66578,24.6504,3/4,1872,1.40468
Bizet,2.29207,2.54453,84.1492,6/8,1872,2.23226
Bizet,2.34933,2.9701,48.1441,4/4,1872,1.62272
Bizet,2.67038,2.44856,36.0248,3/4,1872,1.29546
Bizet,2.43083,2.93172,53.3333,4/4,1872,1.64571
Bizet,2.82322,2.9037,51.8519,4/4,1872,1.74647
Bizet,3.09665,2.94971,22.7743,3/4,1872,1.61433
Bizet,2.11317,2.45023,7.52688,2/4,1872,0.723002
Bizet,2.23122,2.17284,23.2804,2/4,1873,0.831544
Bizet,2.5275,2.8152,16.6667,2/4,1873,0.787127
Bizet,2.52494,2.44107,81.0794,2/4,1873,1.98777
Bizet,2.96124,2.87413,28.7179,3/4,1873,0.591673
Bizet,2.68548,2.28338,65.5238,2/4,1873,1.42561
Bizet,1.87851,2.6992,22.2222,3/4,1873,0.985228
Bizet,2.73715,2.98233,43.2248,4/4,1873,1.96011
Bach,2.63996,2.91128,5.55556,12/8,1723,0.947169
Bizet,2.3949,2.97578,61.5873,3/8,1873,1.99561
Bizet,2.68872,2.28658,75.8242,4/4,1871,1.34214
Bizet,2.8014,2.96381,54.2222,6/8,1871,1.71776
Bizet,2.38259,2.96059,26.6667,2/4,1871,0
Bizet,2.76336,3.02086,27.2464,2/4,1871,1.14012
Bizet,2.82217,2.82732,8.33333,2/4,1871,0.242292
Bizet,3.25513,2.39874,23.3333,2/2,1855,0.543564
Bizet,2.76596,2.98418,27.7778,2/2,1855,0
Bizet,2.57662,2.09472,72.3036,2/2,1855,1.875
Bizet,2.5921,2.68264,51.4286,9/8,1855,2.26381
Bach,3.13394,2.84411,14.2857,4/4,1723,1.06662
